"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"1575","Avro 685 York C-1","MW308","April 30, 1956","2   (passengers:2  crew:0)","?","0","London, England","Scottish Airlines","G-AMUL","Stansted - Luqa - Habbaniya","The aircraft made a sudden turn to the right while talking off from Stansted. Overcorrection by the pilot in command which caused the aircraft to veer to the right.","0930"
"1576","Douglas DC-3","13165","May 15, 1956","14   (passengers:14  crew:0)","?","1","Kathmandu, Nepal","Indian Airlines","VT-DBA","Shimla - Kathmandu","The aircraft touched down at an excessive speed, bounced and stalled. Go-around power was applied, but the remaining runway length was insufficient and the plane overran the end of the runway and went down a steep slope and crashed.","?"
"1577","CF-100 Mark 4B","C-100/4/267","May 15, 1956","2   (passengers:0  crew:2)","?","13","Orleans, Ontario, Canada","Military - Royal Canadian Air Force","18367","Ottawa - Ottawa","The CF-100 was from the Canadian Air Defense Command which was scrambled to investigate an unidentified transport plane flying in the area. It was suspected the crew's oxygen system malfunctioned on the fighter and the jet crashed into a convent operated by the Grey Nuns of the Cross, at over 680 miles an hour, destroying the three story, 70 room convent.","2217"
"1578","Douglas C-47-DL (DC-3)","6052","May 24, 1956","30   (passengers:27  crew:3)","?","0","Guatemala City, Guatemala","Aviateca","TG-AHA","Guatemala City - La Tinta","The plane struck trees on a mountainside and crashed at an altitude of 8,500 ft. The sole survivor, Roberto Obando, was found and rescued on May 30.","1020"
"1579","Douglas DC-3","?","June 13, 1956","1   (passengers:1  crew:?)","?","0","Over North Carolina","Piedmont","?","?","A passenger fell to his death after the door of the plane opened.","?"
"1580","Lockheed 1049E-55 Super Constellation","4561","June 20, 1956","74   (passengers:64  crew:10)","253","0","Asbury Park, New Jersey","Linea Aeropostal Venezolana","YV-C-AMS","New York City - Caracas","About 1.5 hours after taking off from New York, the pilot radioed the No. 2 propeller was overspeeding and could not be feathered. Upon trying to return to New York the plane caught fire and crashed into the Atlantic Ocean. Vibration resulting from the uncontrollable propeller caused one of the inside wing attachments to loosen or break somewhere between the fuel tank and the dump chute causing an uncontrollable fire.","0132"
"1581","Canadair C-4 Argonaut","151","June 24, 1956","32   (passengers:29  crew:3)","?","0","Kano, Nigeria","British Overseas Airways","G-ALHE","Lagos - Kano - Tripoli - London","Loss of height and airspeed caused by the aircraft encountering an unpredictable thunderstorm cell which gave rise to a sudden reversal of wind direction, heavy rain, and possible downdraft conditions.","1725"
"1582","Douglas DC-7 / Lockheed S Constellation","44288 / 4016","June 30, 1956","128   (passengers:117  crew:11)","718 / 2","0","Grand Canyon, Arizona","United Air Lines / Trans World Airlines","N6902C/N6324C","Los Angeles - Chicago / Los Angeles - Kansas City","The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties. This is the accident that led to the adoption of the Air Route Traffic Centers that track planes across the country and the formation of the FAA.","1032"
"1583","Vickers Viscount","55","July 09, 1956","1   (passengers:1  crew:0)","304","0","Near Flat Rock, Michigan","Trans Canada Air Lines","CF-TGR","Chicago - Montreal","While on a flight from Chicago to Montreal, cruising at FL190,  the crew was unable to feather an overspeeding No. 4 engine. Soon after the No. 4 propeller broke and one blade disabled the No. 3 engine and  penetrated the fuselage killing a passenger. An emergency landing was successfully made at Windsor, Ontario.","1353"
"1584","Douglas C-118A","44672","July 13, 1956","46   (passengers:38  crew:8)","?","0","Near Brows Mills, New Jersey","Military - U.S. Air Force","53-3301A","McGuire AFB - Harmon AFB","Crashed into a wooded area 2 minutes after taking off from McGuire Air Force Base. There was thunderstorm activity at the time. Microburst windshear.","1535"
"1585","Convair CV-440-11","335","July 15, 1956","4   (passengers:0  crew:4)","?","0","Shannon, Ireland","Swissair","HB-IMD","Gander - Shannon","The plane was on delivery from San Diego to Zürich via New York, Gander and Shannon. The crew broke off their GCA runway 23 approach after establishing visual reference, and turned for a runway 05 approach. The plane banked sharply, dropped and crashed. Error in judgement by pilot in executing  an abnormally steep turn onto final approach.","0135"
"1586","Douglas DC-3","13328","July 16, 1956","18   (passengers:14  crew:4)","?","0","Rio Cuarto, Argentina","Aerolineas Argentinas","LV-ACD","Buenos Aires - Rio Cuarto","Crashed while making an approach to Rio Cuarto. The decision of the pilot to descend en route, without justifiable reason, below the minimum altitude prescribed for a night flight and in weather conditions which made it his duty to follow IFR procedure.","0715"
"1587","Douglas DC-3","14348/2579","August 08, 1956","12   (passengers:9  crew:3)","?","0","Thazi, Burma","Union of Burma Airways","XY-ADC","Rangoon - Mandalay","Struck Mt Pindaya near Thazi .","?"
"1588","Douglas DC-6B","43843/324","August 29, 1956","15   (passengers:11  crew:4)","307","0","Cold Bay, Alaska","Canadian Pacific Air Lines","CF-CUP","Vancouver - Cold Bay - Tokyo - Hong Kong","The aircraft crashed after a missed approach. The crew executing full retraction of flaps without increasing power or changing attitude resulting in loss of lift after the missed approach.","2045"
"1589","Curtiss C-46A-45-CU","27069","September 09, 1956","1   (passengers:1  crew:0)","?","0","Amman, Jordan","Jordan International Airlines","JY-ABV","Amman - Kuwait","The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames.","?"
"1590","Douglas DC-3 / Cessna 170B","4978 / 20995","September 09, 1956","0   (passengers:0  crew:0)","190","0","Bartlesville, Oklahoma","Continental Airlines","N33315 / N8143A","Tulsa - Bartlesville","Midair collision. Both planes landed safely. Failure of both aircraft to observe and avoid the other aircraft.","1432"
"1591","Stinson AT-19","FK-975","October 02, 1956","5   (passengers:4  crew:1)","701","0","Near Nome, Alaska","Alaska Airlines","N 79069","Unalakleet and Nome","Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.","1825"
"1592","Douglas C188-B","43691/321","October 10, 1956","59   (passengers:50  crew:9)","?","0","Off Land's End, England","Military - U.S. Navy","1311588","RAF Lakenheath - McGuire AFB","The plane disappeared over the Atlantic while on a flight from Royal Air Force Base in England to McGuire Air Force Base in New Jersey. Cause unknown.","2210"
"1593","Boeing  377 Stratocruiser","15959","October 16, 1956","0   (passengers:0  crew:0)","943","0","Over the Pacific Ocean","Pan American World Airways","N90943","Honolulu - San Francisco","The aircraft ditched into the Pacific Ocean while on a flight from San Francisco to Honolulu after losing the No. 1 and then the No. 4 engine. The aircraft circled around the U.S. Coast Guard cutter ""Pontchartrain"", at Ocean Station November until daybreak after which it made a successful ditching with no casualties. Probable Cause: An initial mechanical failure which precluded feathering the No.1 propeller and a subsequent mechanical failure which resulted in a complete loss of power from the No.4 engine, the effects of which necessitated a ditching. The aircraft was named ""Clipper Sovereign of the Sky.""","0615"
"1594","Douglas DC-3","KAL-2","October 19, 1956","3   (passengers:0  crew:3)","?","0","Agartala, India","Indian Airlines","VT-DGK","?","The cargo plane crashed after an attempted go-around. On final, as the pilot-in-command was unable to locate the runway, he decided to make a new go around when the aircraft struck trees and crashed in flames few km short of runway.","?"
"1595","Curtiss C-46","?","October 28, 1956","16   (passengers:12  crew:4)","?","0","Over the Mediterranean Sea","Military - Egyptian Air Force","SU-AAB","Damascus- Cairo","Shot down by the Israeli Air Force.","2200"
"1596","Handley Page HP-1 Hermes","HP-81/11","November 05, 1956","7   (passengers:5  crew:2)","?","0","Blackbushe, England","Britavia","G-ALDJ","Tripoli - Blackbushe","While attempting to land the aircraft descended below the ILS glideslope and hit a tree. Using the lights of the airport the captain misjudged the height he was flying.","2352"
"1597","de Havilland DH-114 Heron 2B","14093","November 07, 1956","2   (passengers:1  crew:1)","?","0","Hommelfjell, Norway","Braathens","LN-SUR","Trondheim - Oslo","The aircraft took off, experienced icing, lost altitude and crashed into Hommelfjell Mountain. Unusually heavy icing which the aircraft encountered. Severe downdraft immediately prior to the crash may have been a contributing factor.","0950"
"1598","Douglas C-54A-10-DC","10324","November 15, 1956","25   (passengers:20  crew:5)","?","0","Puerto Somoza, Nicaragua","Aerovias Guest","XA-HEG","Tocumen - Guatemala City","An unsuccessful belly landing was attempted on flat terrain following a fire in the fuel system.","1453"
"1599","Douglas DC-3","1971","November 17, 1956","36   (passengers:33  crew:3)","?","0","El Rucio Mountain, Colombia","Empresa Aviacion del Pacifico","HK-385","Buenaventura - Cali","Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route.","1645"
"1600","Douglas DC-6B","45075","November 24, 1956","34   (passengers:24  crew:10)","?","8","Paris, France","Linee Aeree Italiane","I-LEAD","Rome - Paris -  Shannon - New York City","Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.","0018"
"1601","Ilyushin IL-12B","93013517","November 24, 1956","23   (passengers:18  crew:5)","?","0","Near Eglisau, Switzerland","Ceskoslovenske Aerolinie","OK-DBP","Eglisau - Prague","Crashed into a field shortly after taking off about 12 km north of the airport.","1820"
